حكمتك يا رب,حكمتك يا رب,5,2,1976,21545.mp4
خدعتنى امراة,خدعتنى امراة,5,2,1979,21545.mp4
خيوط العنكبوت,خيوط العنكبوت,5,2,1985,21545.mp4
دائرة الشك,دائرة الشك,5,2,1980,21545.mp4
سكة سفر,سكة سفر,5,2,1987,21545.mp4
شادر السمك,شادر السمك,5,2,1986,21545.mp4
شباب فى الجحيم,شباب فى الجحيم,5,2,1988,21545.mp4
شباب لكل الاجيال,شباب لكل الاجيال,5,2,1988,21545.mp4
عطشانة,عطشانة,5,2,1987,21545.mp4
عماشة فى الادغال,عماشة فى الادغال,5,2,1972,21545.mp4
غريب ولد عجيب,غريب ولد عجيب,5,2,1983,21545.mp4
فتوة درب العسال,فتوة درب العسال,5,2,1985,21545.mp4
قصر فى الهواء,قصر فى الهواء,5,2,1978,21545.mp4
قلبى يهواك,قلبى يهواك,5,2,1955,21545.mp4
لحظة ضعف,لحظة ضعف,5,2,1981,21545.mp4
لعدم كفاية الادلة,لعدم كفاية الادلة,5,2,1987,21545.mp4
لن اغفر ابدا,لن اغفر ابدا,5,2,1981,21545.mp4
ليالى الصبر,ليالى الصبر,5,2,1992,21545.mp4
محطة الانس,محطة الانس,5,2,1985,21545.mp4
مدافن مفروشة للإيجار,مدافن مفروشة للإيجار,5,2,1986,21545.mp4
مسعود سعيد ليه,مسعود سعيد ليه,5,2,1983,21545.mp4
مقص عم قنديل,مقص عم قنديل,5,2,1985,21545.mp4
ويبقى الحب,ويبقى الحب,5,2,1987,21545.mp4
وداعاً للعذاب,وداعاً للعذاب,5,2,1978,21545.mp4
ولا من شاف ولا من درى,ولا من شاف ولا من درى,5,2,1983,21545.mp4
